Name    Symbol  Code
Dólar estadounidense	$	USD
Euro	€	EUR
Yen japonés	¥	JPY
Libra esterlina	£	GBP
Dólar canadiense	$	CAD
Franco suizo	CHF	CHF
Dólar australiano	$	AUD
Yuan chino	¥	CNY
Rupia india	₹	INR
Peso mexicano	$	MXN
